timestamp, x, y, z 
1.72883e+09, -20.1842, 98.0256, -0.138972
1.72883e+09, -20.3138, 98.6045, -0.152444
1.72883e+09, -20.4408, 99.1496, -0.170112
1.72883e+09, -20.5679, 99.6671, -0.167755
1.72883e+09, -20.6728, 100.16, -0.180627
1.72883e+09, -20.7701, 100.639, -0.20199
1.72883e+09, -20.8639, 101.096, -0.204943
1.72883e+09, -20.9517, 101.536, -0.200232
1.72883e+09, -21.0216, 101.955, -0.200833
1.72883e+09, -21.0735, 102.355, -0.200269
1.72883e+09, -21.1076, 102.75, -0.207406
1.72883e+09, -21.1277, 103.144, -0.21551
1.72883e+09, -21.1284, 103.539, -0.22162
1.72883e+09, -21.1073, 103.937, -0.224144
1.72883e+09, -21.0769, 104.321, -0.232631
1.72883e+09, -21.0448, 104.694, -0.24442
1.72883e+09, -21.0084, 105.059, -0.240193
1.72883e+09, -20.9759, 105.431, -0.225043
1.72883e+09, -20.927, 105.79, -0.210212
1.72883e+09, -20.8554, 106.143, -0.207816
1.72883e+09, -20.7563, 106.479, -0.221639
1.72883e+09, -20.6329, 106.806, -0.2425
1.72883e+09, -20.4921, 107.123, -0.246729
1.72883e+09, -20.3429, 107.441, -0.244341
1.72883e+09, -20.1843, 107.766, -0.24631
1.72883e+09, -20.0299, 108.076, -0.245216
1.72883e+09, -19.8631, 108.359, -0.235335
1.72883e+09, -19.6763, 108.624, -0.243613
1.72883e+09, -19.4655, 108.887, -0.275431
1.72883e+09, -19.2327, 109.148, -0.29028
1.72883e+09, -18.9761, 109.404, -0.293042
1.72883e+09, -18.6985, 109.643, -0.285447
1.72883e+09, -18.4066, 109.875, -0.299897
1.72883e+09, -18.104, 110.097, -0.289671
1.72883e+09, -17.7863, 110.299, -0.288612
1.72883e+09, -17.4474, 110.488, -0.299081
1.72883e+09, -17.0937, 110.671, -0.319786
1.72883e+09, -16.7159, 110.855, -0.356646
1.72883e+09, -16.3396, 111.049, -0.381136
1.72883e+09, -15.9837, 111.23, -0.388258
1.72883e+09, -15.6219, 111.435, -0.380288
1.72883e+09, -15.2474, 111.672, -0.365279
1.72883e+09, -14.8493, 111.92, -0.366175
1.72883e+09, -14.4324, 112.176, -0.386296
1.72883e+09, -13.991, 112.39, -0.399679
1.72883e+09, -13.5071, 112.572, -0.407931
1.72883e+09, -12.9857, 112.701, -0.391723
1.72883e+09, -12.419, 112.795, -0.386033
1.72883e+09, -11.8433, 112.883, -0.403703
1.72883e+09, -11.2378, 112.989, -0.446233
1.72883e+09, -10.6129, 113.103, -0.473598
1.72883e+09, -9.98382, 113.217, -0.478641
1.72883e+09, -9.32602, 113.342, -0.453544
1.72883e+09, -8.65557, 113.444, -0.443525
1.72883e+09, -7.9707, 113.53, -0.446892
1.72883e+09, -7.2621, 113.602, -0.458244
1.72883e+09, -6.53144, 113.668, -0.463072
1.72883e+09, -5.78796, 113.741, -0.456452
1.72883e+09, -5.02982, 113.82, -0.469752
1.72883e+09, -4.25225, 113.912, -0.474799
1.72883e+09, -3.4697, 114.009, -0.477037
1.72883e+09, -2.68092, 114.113, -0.497046
1.72883e+09, -1.89021, 114.203, -0.518811
1.72883e+09, -1.08405, 114.297, -0.528159
1.72883e+09, -0.264899, 114.395, -0.541953
1.72883e+09, 0.561745, 114.502, -0.550361
1.72883e+09, 1.40091, 114.605, -0.552772
1.72883e+09, 2.24551, 114.712, -0.560349
1.72883e+09, 3.10334, 114.807, -0.574515
1.72883e+09, 3.96279, 114.918, -0.586382
1.72883e+09, 4.81529, 115.041, -0.590514
1.72883e+09, 5.66322, 115.154, -0.612925
1.72883e+09, 6.5039, 115.279, -0.642686
1.72883e+09, 7.33043, 115.363, -0.652454
1.72883e+09, 8.16481, 115.446, -0.631038
1.72883e+09, 8.99405, 115.526, -0.620381
1.72883e+09, 9.81413, 115.619, -0.631617
1.72883e+09, 10.6429, 115.723, -0.654269
1.72883e+09, 11.4821, 115.834, -0.669287
1.72883e+09, 12.3161, 115.94, -0.659134
1.72883e+09, 13.1308, 116.028, -0.654194
1.72883e+09, 13.9428, 116.116, -0.662384
1.72883e+09, 14.7451, 116.197, -0.680459
1.72883e+09, 15.5357, 116.275, -0.695557
1.72883e+09, 16.3174, 116.359, -0.715701
1.72883e+09, 17.1149, 116.447, -0.728066
1.72883e+09, 17.9154, 116.541, -0.734061
1.72883e+09, 18.7074, 116.637, -0.740208
1.72883e+09, 19.5057, 116.746, -0.734795
1.72883e+09, 20.2864, 116.849, -0.732971
1.72883e+09, 21.0761, 116.923, -0.736963
1.72883e+09, 21.8592, 116.976, -0.741976
1.72883e+09, 22.6252, 117.052, -0.744716
1.72883e+09, 23.3773, 117.126, -0.745028
1.72883e+09, 24.1156, 117.196, -0.756506
1.72883e+09, 24.8405, 117.26, -0.774123
1.72883e+09, 25.5511, 117.307, -0.788992
1.72883e+09, 26.2483, 117.351, -0.787347
1.72883e+09, 26.9343, 117.413, -0.779922
1.72883e+09, 27.6134, 117.477, -0.786763
1.72883e+09, 28.2852, 117.543, -0.802492
1.72883e+09, 28.9521, 117.613, -0.814669
1.72883e+09, 29.6202, 117.692, -0.812088
1.72883e+09, 30.2895, 117.783, -0.804081
1.72883e+09, 30.9491, 117.868, -0.806396
1.72883e+09, 31.6115, 117.941, -0.816132
1.72883e+09, 32.2777, 117.997, -0.813077
1.72883e+09, 32.9579, 118.042, -0.81862
1.72883e+09, 33.6497, 118.084, -0.803538
1.72883e+09, 34.334, 118.118, -0.804882
1.72883e+09, 35.0193, 118.159, -0.813261
1.72883e+09, 35.6886, 118.21, -0.821636
1.72883e+09, 36.3638, 118.268, -0.834885
1.72883e+09, 37.0431, 118.319, -0.839701
1.72883e+09, 37.7336, 118.369, -0.841838
1.72883e+09, 38.4334, 118.411, -0.853109
1.72883e+09, 39.1551, 118.437, -0.875796
1.72883e+09, 39.8784, 118.456, -0.88374
1.72883e+09, 40.6034, 118.478, -0.893782
1.72883e+09, 41.3324, 118.495, -0.891896
1.72883e+09, 42.0719, 118.507, -0.898274
1.72883e+09, 42.8122, 118.498, -0.892017
1.72883e+09, 43.5731, 118.496, -0.897261
1.72883e+09, 44.3435, 118.515, -0.901529
1.72883e+09, 45.1187, 118.551, -0.923414
1.72883e+09, 45.8943, 118.59, -0.945711
1.72883e+09, 46.6517, 118.628, -0.94318
1.72883e+09, 47.3963, 118.66, -0.933013
1.72883e+09, 48.1255, 118.68, -0.932579
1.72883e+09, 48.8483, 118.698, -0.948139
1.72883e+09, 49.5862, 118.714, -0.949035
1.72883e+09, 50.3489, 118.729, -0.953214
1.72883e+09, 51.1155, 118.748, -0.952443
1.72883e+09, 51.8922, 118.769, -0.955283
1.72883e+09, 52.6571, 118.793, -0.956617
1.72883e+09, 53.4179, 118.824, -0.964662
1.72883e+09, 54.1933, 118.843, -0.973044
1.72883e+09, 54.9774, 118.85, -0.993261
1.72883e+09, 55.7689, 118.865, -1.00073
1.72883e+09, 56.5651, 118.872, -1.02074
1.72883e+09, 57.3709, 118.873, -1.03079
1.72883e+09, 58.1782, 118.879, -1.04701
1.72883e+09, 58.998, 118.888, -1.05429
1.72883e+09, 59.8258, 118.909, -1.05896
1.72883e+09, 60.6392, 118.91, -1.05197
1.72883e+09, 61.4653, 118.904, -1.05577
1.72883e+09, 62.3032, 118.897, -1.05176
